task,method,metric,mean,std,ci95_lo,ci95_hi,n
T2_failure,ecn_proposed__full,precision_at_100,0.018333333333333333,0.019407902170679517,-0.002034010900192392,0.03870067756685906,6
T2_failure,ecn_proposed__full,precision_at_top1pct,0.008771929824561403,0.021486752129677,-0.013777033645932586,0.03132089329505539,6
T2_failure,ecn_proposed__full,fpr_at_recall_0_5,0.3105548204536987,0.17866241377940162,0.12306011592375118,0.4980495249836462,6
T2_failure,ecn_proposed__full,fpr_at_recall_0_8,0.624839386272204,0.18940413579300883,0.42607193582732183,0.8236068367170862,6
T2_failure,ecn_proposed__full,peak_rss_delta_mb,1.736328125,1.5749208460702775,0.08355005911871283,3.389106190881287,6
T2_failure,xgboost__full,ap,0.011483776597058732,0.004378385010445106,0.006888943321911285,0.01607860987220618,6
T2_failure,xgboost__full,roc_auc,0.6039404366666792,0.10119046069869304,0.4977475607919768,0.7101333125413816,6
T2_failure,xgboost__full,f1,0.02638914900007154,0.02581809704845929,-0.0007052821968749658,0.053483580197018044,6
T2_failure,xgboost__full,precision,0.01600890572030002,0.015912464365980837,-0.0006902015039351311,0.032708012944535174,6
T2_failure,xgboost__full,recall,0.09722222222222222,0.10975562079591322,-0.017959237919917992,0.21240368236436244,6
T2_failure,xgboost__full,brier,0.00634134799948121,0.0006951549576162639,0.00561182761170832,0.0070708683872541,6
T2_failure,xgboost__full,train_time_s,0.17229713334624344,0.012587237423208811,0.15908763778649562,0.18550662890599126,6
T2_failure,xgboost__full,precision_at_10,0.0,0.0,0.0,0.0,6
T2_failure,xgboost__full,precision_at_50,0.01,0.010954451150103323,-0.0014959914524179836,0.021495991452417984,6
T2_failure,xgboost__full,precision_at_100,0.01,0.010954451150103323,-0.0014959914524179836,0.021495991452417984,6
T2_failure,xgboost__full,precision_at_top1pct,0.0,0.0,0.0,0.0,6
T2_failure,xgboost__full,fpr_at_recall_0_5,0.31017817422307725,0.12392731526593949,0.1801244328263746,0.4402319156197799,6
T2_failure,xgboost__full,fpr_at_recall_0_8,0.6265744219897305,0.17133210946190244,0.44677240006185,0.8063764439176109,6
T2_failure,xgboost__full,peak_rss_delta_mb,0.032552083333333336,0.042980585491203656,-0.01255327490473205,0.07765744157139873,6
T2_failure,catboost__full,ap,0.011651245672782562,0.006389051885427787,0.004946346919070005,0.01835614442649512,6
T2_failure,catboost__full,roc_auc,0.5710324613166573,0.11450151315495267,0.45087049258983103,0.6911944300434836,6
T2_failure,catboost__full,f1,0.012754327361068934,0.022139513568173515,-0.01047966722733307,0.035988321949470936,6
T2_failure,catboost__full,precision,0.008156966490299823,0.014928153633645911,-0.00750916997069094,0.023823102951290587,6
T2_failure,catboost__full,recall,0.05000000000000001,0.08366600265340757,-0.03780208503211791,0.13780208503211794,6
T2_failure,catboost__full,brier,0.008271927345585137,0.001515392074946205,0.006681620893720663,0.009862233797449611,6
T2_failure,catboost__full,train_time_s,0.8288473166758195,0.02522966560021355,0.8023704064122976,0.8553242269393413,6
T2_failure,catboost__full,precision_at_10,0.016666666666666666,0.040824829046386304,-0.026176363927271924,0.05950969726060526,6
T2_failure,catboost__full,precision_at_50,0.01,0.016733200530681513,-0.007560417006423582,0.02756041700642358,6
