task,method,metric,mean,std,ci95_lo,ci95_hi,n
T1_anomaly,balanced_rf__full,brier,0.1553690786485635,0.023521813719051363,0.13068444901679668,0.18005370828033032,6
T1_anomaly,balanced_rf__full,train_time_s,0.4667170332977548,0.10244008990071703,0.35921275200179364,0.574221314593716,6
T1_anomaly,balanced_rf__full,precision_at_10,0.03333333333333333,0.051639777949432225,-0.020859290083115628,0.0875259567497823,6
T1_anomaly,balanced_rf__full,precision_at_50,0.03333333333333333,0.02065591117977289,0.01165628396675375,0.055010382699912916,6
T1_anomaly,balanced_rf__full,precision_at_100,0.024999999999999998,0.010488088481701515,0.013993426152919862,0.036006573847080135,6
T1_anomaly,balanced_rf__full,precision_at_top1pct,0.02631578947368421,0.04403473823863555,-0.01989583422743047,0.07252741317479888,6
T1_anomaly,balanced_rf__full,fpr_at_recall_0_5,0.18293394225777196,0.08206556991010867,0.09681140838572841,0.26905647612981554,6
T1_anomaly,balanced_rf__full,fpr_at_recall_0_8,0.3671681995893838,0.12752580127212437,0.2333380787281238,0.5009983204506439,6
T1_anomaly,balanced_rf__full,peak_rss_delta_mb,2.55078125,6.133494687376693,-3.885926672045782,8.987489172045782,6
T1_anomaly,random_forest__full,ap,0.07583814878524626,0.03160811103858589,0.04266747055156454,0.10900882701892799,6
T1_anomaly,random_forest__full,roc_auc,0.7660660003912628,0.10097631250737203,0.6600978592607519,0.8720341415217737,6
T1_anomaly,random_forest__full,f1,0.04700336700336701,0.052448532418636416,-0.008037992176989986,0.10204472618372401,6
T1_anomaly,random_forest__full,precision,0.2329749103942652,0.39739390754693826,-0.18406441926302175,0.6500142400515522,6
T1_anomaly,random_forest__full,recall,0.03611971104231166,0.04354956250122744,-0.009582751948354132,0.08182217403297745,6
T1_anomaly,random_forest__full,brier,0.022696506645680143,0.010945991499890066,0.011209393051697004,0.03418362023966328,6
T1_anomaly,random_forest__full,train_time_s,0.5603837333619595,0.023364965011536048,0.5358637063539309,0.584903760369988,6
T1_anomaly,random_forest__full,precision_at_10,0.10000000000000002,0.0894427190999916,0.0061356228472635305,0.19386437715273652,6
T1_anomaly,random_forest__full,precision_at_50,0.036666666666666674,0.015055453054181617,0.020866937656827633,0.05246639567650571,6
T1_anomaly,random_forest__full,precision_at_100,0.03166666666666666,0.013291601358251259,0.017717986490027912,0.04561534684330541,6
T1_anomaly,random_forest__full,precision_at_top1pct,0.06140350877192982,0.039619613300477946,0.019825274535511285,0.10298174300834836,6
T1_anomaly,random_forest__full,fpr_at_recall_0_5,0.21956976428156783,0.14404260621214277,0.06840631965904245,0.3707332089040932,6
T1_anomaly,random_forest__full,fpr_at_recall_0_8,0.38351693108284807,0.1781860873423973,0.19652210049211755,0.5705117616735786,6
T1_anomaly,random_forest__full,peak_rss_delta_mb,4.395833333333333,5.03566422880442,-0.8887721789233538,9.68043884559002,6
T1_anomaly,logistic__full,ap,0.06312452036722811,0.03778432795407648,0.023472299982702123,0.10277674075175411,6
T1_anomaly,logistic__full,roc_auc,0.7259940136371538,0.09883018906959865,0.6222780909298584,0.8297099363444491,6
T1_anomaly,logistic__full,f1,0.03809414802134403,0.03287298256108211,0.0035960685320652816,0.07259222751062278,6
T1_anomaly,logistic__full,precision,0.021257195102095644,0.01805118913186633,0.0023136338846120597,0.04020075631957923,6
T1_anomaly,logistic__full,recall,0.24548503611971106,0.29749816843969323,-0.06672014464468179,0.5576902168841039,6
T1_anomaly,logistic__full,brier,0.2328293189533935,0.055908175451505546,0.1741572870730258,0.2915013508337612,6
T1_anomaly,logistic__full,train_time_s,0.019696366662780445,0.0036748532808306106,0.015839844658488113,0.023552888667072776,6
T1_anomaly,logistic__full,precision_at_10,0.06666666666666667,0.051639777949432225,0.012474043250217705,0.12085929008311563,6
T1_anomaly,logistic__full,precision_at_50,0.02,0.012649110640673518,0.006725572480689678,0.033274427519310326,6
T1_anomaly,logistic__full,precision_at_100,0.025000000000000005,0.02588435821108957,-0.0021639680225516607,0.052163968022551674,6
T1_anomaly,logistic__full,precision_at_top1pct,0.043859649122807015,0.039619613300477946,0.002281414886388479,0.08543788335922556,6
T1_anomaly,logistic__full,fpr_at_recall_0_5,0.2472419438243659,0.12958201118998017,0.11125396299220042,0.3832299246565314,6
T1_anomaly,logistic__full,fpr_at_recall_0_8,0.3819567331015838,0.13702368794864422,0.23815919145829062,0.5257542747448769,6
T1_anomaly,logistic__full,peak_rss_delta_mb,0.20442708333333334,0.31765923459411133,-0.12893583879180662,0.5377900054584733,6
T1_anomaly,isolation_forest__full,ap,0.05749706820671099,0.030505159699041173,0.025483866417818517,0.08951026999560346,6
T1_anomaly,isolation_forest__full,roc_auc,0.671638436120834,0.11620605263776226,0.5496876629111375,0.7935892093305305,6
T1_anomaly,isolation_forest__full,f1,0.03732142132565187,0.028410882240958498,0.007506028941102118,0.06713681371020161,6
T1_anomaly,isolation_forest__full,precision,0.02143476378279949,0.016099289104353202,0.004539596019702136,0.038329931545896846,6
T1_anomaly,isolation_forest__full,recall,0.3629278465772274,0.3515290008349972,-0.00597921535604401,0.7318349085104987,6
T1_anomaly,isolation_forest__full,brier,0.20391491057381628,0.005219911601992476,0.19843694930157882,0.20939287184605374,6
T1_anomaly,isolation_forest__full,train_time_s,0.13122924999333918,0.011530233642376915,0.11912901187270115,0.14332948811397722,6
T1_anomaly,isolation_forest__full,precision_at_10,0.08333333333333333,0.040824829046386304,0.04049030273939474,0.1261763639272719,6
T1_anomaly,isolation_forest__full,precision_at_50,0.03666666666666667,0.02943920288775949,0.0057721179461230725,0.06756121538721026,6
T1_anomaly,isolation_forest__full,precision_at_100,0.026666666666666672,0.024221202832779936,0.0012480731727978235,0.052085260160535524,6
T1_anomaly,isolation_forest__full,precision_at_top1pct,0.05263157894736842,0.0332871332649303,0.017698874949183367,0.08756428294555346,6
T1_anomaly,isolation_forest__full,fpr_at_recall_0_5,0.2672783777453296,0.16206930607409997,0.09719707181795831,0.43735968367270084,6
T1_anomaly,isolation_forest__full,fpr_at_recall_0_8,0.5502038881561245,0.18597372918447808,0.3550364286655693,0.7453713476466798,6
T1_anomaly,isolation_forest__full,peak_rss_delta_mb,0.068359375,0.11366449181348919,-0.050924193699740924,0.18764294369974094,6
T1_anomaly,ewma__full,ap,0.0402854466225632,0.02555910201071589,0.01346281404878082,0.06710807919634558,6
T1_anomaly,ewma__full,roc_auc,0.5484363817010708,0.07085993734274026,0.4740734380128028,0.6227993253893388,6
T1_anomaly,ewma__full,f1,0.03624262572865634,0.013431618137086692,0.02214700695412425,0.050338244503188426,6
T1_anomaly,ewma__full,precision,0.02126736111111111,0.008779814450340475,0.012053510915250039,0.030481211306972178,6
T1_anomaly,ewma__full,recall,0.15100045866299736,0.060436952931368276,0.08757576629010339,0.21442515103589133,6
T1_anomaly,ewma__full,brier,0.33244186747855403,0.0014522120757990776,0.33091786436952314,0.3339658705875849,6
T1_anomaly,ewma__full,train_time_s,9.500072337687016e-07,5.2058056731991e-07,4.036914329859171e-07,1.496323034551486e-06,6
T1_anomaly,ewma__full,precision_at_10,0.13333333333333333,0.051639777949432225,0.07914070991688438,0.18752595674978229,6
T1_anomaly,ewma__full,precision_at_50,0.03666666666666667,0.0196638416050035,0.016030730469106535,0.057302602864226795,6
T1_anomaly,ewma__full,precision_at_100,0.02,0.008944271909999158,0.010613562284726354,0.029386437715273647,6
T1_anomaly,ewma__full,precision_at_top1pct,0.07894736842105263,0.028827503026587688,0.04869475933574215,0.10919997750636311,6
T1_anomaly,ewma__full,fpr_at_recall_0_5,0.4220408764550709,0.14616569601758592,0.26864938572401365,0.5754323671861281,6
T1_anomaly,ewma__full,fpr_at_recall_0_8,0.7455814089298253,0.07690875824908033,0.664870617003096,0.8262922008565545,6
T1_anomaly,ewma__full,peak_rss_delta_mb,0.005859375,0.004784159653873394,0.0008387073522728222,0.010880042647727177,6
T1_anomaly,threshold__full,ap,0.03151748622276997,0.03291849580117613,-0.0030283564827505785,0.06606332892829053,6
T1_anomaly,threshold__full,roc_auc,0.2864224588852677,0.11371269974435466,0.16708829906475087,0.4057566187057845,6
T1_anomaly,threshold__full,f1,0.008329856629156362,0.009352390813493079,-0.0014848756087590745,0.0181445888670718,6
T1_anomaly,threshold__full,precision,0.004534128439383216,0.005104507061515456,-0.0008227231950718294,0.00989098007383826,6
T1_anomaly,threshold__full,recall,0.17750257997936014,0.3544353071512046,-0.1944544633825941,0.5494596233413144,6
T1_anomaly,threshold__full,brier,0.337661880726243,0.0024511957596971595,0.3350895085356549,0.34023425291683107,6
T1_anomaly,threshold__full,train_time_s,8.00006091594696e-07,1.2649206957242627e-07,6.672608056211895e-07,9.327513775682026e-07,6
T1_anomaly,threshold__full,precision_at_10,0.08333333333333333,0.09831920802501751,-0.01984634765446734,0.18651301432113399,6
T1_anomaly,threshold__full,precision_at_50,0.016666666666666666,0.0196638416050035,-0.003969269530893466,0.0373026028642268,6
T1_anomaly,threshold__full,precision_at_100,0.008333333333333333,0.00983192080250175,-0.001984634765446733,0.0186513014321134,6
T1_anomaly,threshold__full,precision_at_top1pct,0.043859649122807015,0.05174695159211447,-0.01044544613393017,0.0981647443795442,6
